0	0	10203	0
150	9	154	0
149	0	16765	0
148	2	16764	0
146	9	147	0
147	63	146	0
146	3	3584	0
147	62	5842	0
146	61	277	0
71	31	770	0
145	11	770	0
144	12	16763	0
143	12	16762	0
142	12	16761	0
141	3	16760	0
6	4	16759	0
141	3	16758	0
141	9	16757	0
141	9	16756	0
141	4	8242	0
141	9	16755	0
141	61	16754	0
141	9	16753	0
141	0	16752	0
141	9	16751	0
140	1	16750	0
151	8	150	0
152	0	1371	0
153	17	150	0
154	31	1371	0
164	72	16778	0
164	72	16777	0
7	71	8	0
7	16	225	0
163	36	16776	0
162	0	16775	0
7	4	16774	0
7	5	277	0
7	4	225	0
7	70	16773	0
46	69	8	0
7	68	16772	0
140	60	9002	0
161	43	16771	0
161	52	16769	0
160	2	16768	0
159	67	277	0
159	66	16767	0
158	4	16766	0
157	66	159	0
64	1	277	0
156	0	414	0
64	65	249	0
64	64	414	0
64	2	2763	0
155	4	1516	0
159	3	16770	0
164	72	16779	0
19	4	16749	0
140	59	16747	0
126	16	16721	0
126	16	16724	0
125	1	414	0
125	16	16721	0
125	16	16723	0
124	12	125	0
123	16	16722	0
123	16	16721	0
123	16	16720	0
122	12	123	0
121	0	71	0
121	11	16719	0
120	12	126	0
56	28	16718	0
56	9	104	0
57	20	16717	0
57	33	159	0
56	3	16716	0
56	51	8900	0
104	1	57	0
56	28	104	0
57	20	2877	0
56	33	924	0
119	50	414	0
118	8	2542	0
126	16	16725	0
126	1	414	0
125	16	16726	0
123	1	414	0
140	0	16746	0
19	31	16745	0
19	0	16744	0
140	0	16743	0
140	9	16742	0
140	8	16741	0
140	9	16740	0
134	56	16739	0
139	42	16738	0
138	58	139	0
137	1	136	0
136	57	16737	0
140	31	16748	0
134	56	16736	0
134	56	16735	0
133	0	16734	0
133	55	135	0
133	55	131	0
132	54	134	0
131	14	16733	0
127	53	16732	0
130	0	16731	0
127	52	16730	0
129	3	16729	0
128	0	16728	0
127	52	16727	0
135	14	16733	0
19	49	16715	0
165	21	16780	0
71	1	5206	0
6	88	286	0
6	88	334	0
202	27	16822	0
6	7	16821	0
201	87	16820	0
199	42	16819	0
198	4	16815	0
200	8	16818	0
199	21	16817	0
198	27	16816	0
198	9	16815	0
197	31	16814	0
196	0	16813	0
191	85	389	0
191	85	42	0
195	85	5416	0
195	85	1368	0
195	85	6113	0
191	85	195	0
191	85	383	0
191	85	388	0
194	3	16812	0
191	85	391	0
7	86	191	0
46	0	8	0
6	7	11396	0
203	88	6	0
201	87	16823	0
204	88	6	0
218	8	5775	0
217	3	16837	0
24	0	16836	0
24	4	16835	0
24	2	16834	0
216	4	16644	0
7	9	16833	0
6	0	16832	0
215	3	16831	0
212	0	1797	0
214	4	3047	0
213	1	8035	0
193	2	277	0
212	4	277	0
213	21	16829	0
212	3	3047	0
206	56	16828	0
205	2	209	0
205	4	16827	0
211	91	16826	0
210	0	205	0
209	90	277	0
208	89	16825	0
207	4	3336	0
205	4	16824	0
205	9	1694	0
212	2	16830	0
165	11	770	0
192	0	10	0
10	4	16802	0
183	76	184	0
182	4	16792	0
182	0	16791	0
181	3	16790	0
181	9	16789	0
178	11	16788	0
180	11	414	0
180	11	16659	0
179	12	180	0
178	11	414	0
177	12	178	0
174	11	16787	0
176	12	174	0
175	14	10483	0
175	11	16786	0
175	14	543	0
174	11	414	0
173	0	16785	0
172	14	767	0
171	19	2271	0
170	54	16784	0
169	2	16783	0
168	75	16782	0
167	74	16781	0
166	73	465	0
184	77	16793	0
185	9	16794	0
181	4	16795	0
183	78	16796	0
189	84	16811	0
190	21	16810	0
28	14	433	0
189	4	16809	0
188	83	10148	0
187	82	16808	0
187	82	16807	0
187	4	7522	0
187	16	16806	0
187	82	16805	0
7	9	16804	0
7	2	16803	0
191	85	364	0
6	81	7	0
8	3	16802	0
8	9	16801	0
8	0	16800	0
8	8	16799	0
7	21	2114	0
186	80	16798	0
186	0	1318	0
6	78	414	0
186	79	3078	0
186	1	16797	0
19	4	2542	0
19	9	1322	0
7	5	425	0
117	9	16714	0
206	50	414	0
115	9	16712	0
48	0	16643	0
48	3	16642	0
6	21	11820	0
6	2	52	0
8	8	47	0
45	4	8373	0
46	0	160	0
47	22	45	0
46	0	16641	0
45	4	730	0
46	27	47	0
45	4	3372	0
45	4	16640	0
44	9	16639	0
43	9	16639	0
42	0	16638	0
38	24	999	0
41	26	16637	0
40	3	568	0
40	1	16636	0
39	25	16635	0
38	24	41	0
37	14	35	0
36	14	35	0
35	23	16634	0
6	0	48	0
49	22	48	0
50	22	48	0
6	1	1739	0
60	32	16650	0
59	14	58	0
58	31	922	0
58	31	455	0
58	1	16649	0
58	4	16648	0
56	28	62	0
56	28	61	0
57	30	104	0
57	9	56	0
56	29	104	0
56	28	104	0
